Pressure Altitude [ft],Load [%],Speed [KTAS],Speed [mph],Fuel Flow [l/h],Fuel Flow [US Gal/h],Distance [NM],Endurance Time [hrs],Weight [kg]
18000,60,117,134,18.6,4.9,866,6.3,1134
18000,50,93,107,15.3,4.0,854,8.0,1134
0,100,125,143,33.6,8.9,517,4.2,1157
0,90,120,138,29.6,7.8,577,4.8,1157
0,80,115,132,25.8,6.8,646,5.6,1157
0,70,109,125,22.1,5.8,729,6.7,1157
0,60,102,117,18.6,4.9,825,8.1,1157
0,50,93,107,15.3,4.0,930,10.0,1157
2000,100,127,146,33.6,8.9,524,4.0,1157
2000,90,122,140,29.6,7.8,584,4.7,1157
2000,80,117,134,25.8,6.8,653,5.5,1157
2000,70,111,127,22.1,5.8,736,6.6,1157
2000,60,103,119,18.6,4.9,832,8.0,1157
2000,50,94,108,15.3,4.0,934,9.8,1157
4000,100,129,149,33.6,8.9,531,3.9,1157
4000,90,124,143,29.6,7.8,591,4.6,1157
4000,80,119,137,25.8,6.8,661,5.4,1157
4000,70,111,128,22.1,5.8,758,6.5,1157
4000,60,105,121,18.6,4.9,839,7.8,1157
4000,50,95,110,15.3,4.0,937,9.7,1157
6000,100,132,152,33.6,8.9,538,3.8,1157
6000,90,127,146,29.6,7.8,599,4.5,1157
6000,80,121,139,25.8,6.8,668,5.3,1157
6000,70,115,132,22.1,5.8,751,6.3,1157
6000,60,107,123,18.6,4.9,845,7.6,1157
6000,50,96,110,15.3,4.0,939,9.5,1157
8000,100,134,155,33.6,8.9,545,3.7,1157
8000,90,129,149,29.6,7.8,606,4.3,1157
8000,80,123,142,25.8,6.8,675,5.1,1157
8000,70,116,134,22.1,5.8,758,6.1,1157
8000,60,108,125,18.6,4.9,850,7.5,1157
8000,50,97,111,15.3,4.0,938,9.3,1157
10000,90,132,151,29.6,7.8,613,4.2,1157
10000,80,126,144,25.8,6.8,682,5.0,1157
10000,70,119,136,22.1,5.8,764,6.0,1157
10000,60,110,126,18.6,4.9,855,7.3,1157
10000,50,97,112,15.3,4.0,934,9.1,1157
12000,90,134,154,29.6,7.8,620,4.0,1157
12000,80,128,147,25.8,6.8,689,4.8,1157
12000,70,121,139,22.1,5.8,771,5.8,1157
12000,60,111,128,18.6,4.9,859,7.1,1157
12000,50,97,112,15.3,4.0,926,8.9,1157
14000,90,137,157,29.6,7.8,627,3.9,1157
14000,80,130,150,25.8,6.8,696,4.6,1157
14000,70,123,141,22.1,5.8,777,5.6,1157
14000,60,113,130,18.6,4.9,862,7.0,1157
14000,50,96,111,15.3,4.0,910,8.6,1157
16000,90,133,153,25.8,6.8,703,4.4,1157
16000,80,125,143,22.1,5.8,782,5.4,1157
16000,70,114,132,18.6,4.9,864,6.6,1157
16000,60,103,119,15.3,4.0,866,8.7,1157
18000,80,135,156,25.8,6.8,709,4.2,1157
18000,70,127,146,22.1,5.8,787,5.2,1157
18000,60,115,133,18.6,4.9,864,6.4,1157
